module	version	go_sum_h1	go_mod_h1	declared_in
github.com/hashicorp/golang-lru	v0.5.0		h1:/m3WP610KZHVQ1SGc6re/UDhFvYD7pJ4Ao+sR/qLZy8=	core/go.sum
github.com/hashicorp/golang-lru	v0.5.1		h1:/m3WP610KZHVQ1SGc6re/UDhFvYD7pJ4Ao+sR/qLZy8=	core/go.sum
github.com/hashicorp/hcl	v1.0.0		h1:E5yfLk+7swimpb2L/Alb/PJmXilQ/rhwaUYs4T20WEQ=	core/go.sum
github.com/hashicorp/logutils	v1.0.0		h1:QIAnNjmIWmVIIkWDTG1z5v++HQmx9WQRO+LraFDTW64=	core/go.sum
github.com/hashicorp/mdns	v1.0.0		h1:tL+uN++7HEJ6SQLQ2/p+z2pH24WQKWjBPkE0mNTz8vQ=	core/go.sum
github.com/hashicorp/memberlist	v0.1.3		h1:ajVTdAv/9Im8oMAAj5G31PhhMCZJV2pPBoIllUwCN7I=	core/go.sum
github.com/hashicorp/serf	v0.8.2		h1:6hOLApaqBFA1NXqRQAsxw9QxuDEvNxSQRwA/JwenrHc=	core/go.sum
github.com/inconshreveable/mousetrap	v1.0.0		h1:PxqpIevigyE2G7u3NXJIT2ANytuPF1OarO4DADm73n8=	core/go.sum
github.com/jonboulle/clockwork	v0.1.0		h1:Ii8DK3G1RaLaWxj9trq07+26W01tbo22gdxWY5EU2bo=	core/go.sum
github.com/json-iterator/go	v1.1.12	h1:PV8peI4a0ysnczrg+LtxykD8LfKY9ML6u2jnxaEnrnM=	h1:e30LSqwooZae/UwlEbR2852Gd8hjQvJoHmT4TnhNGBo=	xroad-service/go.sum;xroad-service/go.sum
github.com/json-iterator/go	v1.1.6		h1:+SdeFBvtyEkXs7REEP0seUULqWtbJapLOCVDaaPEHmU=	core/go.sum
github.com/jstemmer/go-junit-report	v0.0.0-20190106144839-af01ea7f8024		h1:6v2b51hI/fHJwM22ozAgKL4VKDeJcHhJFhtBdhmNjmU=	core/go.sum
github.com/jtolds/gls	v4.20.0+incompatible		h1:QJZ7F/aHp+rZTRtaJ1ow/lLfFfVYBRgL+9YlvaHOwJU=	core/go.sum
github.com/julienschmidt/httprouter	v1.2.0		h1:SYymIcj16QtmaHHD7aYtjjsJG7VTCxuUUipMqKk8s4w=	core/go.sum
github.com/kisielk/errcheck	v1.1.0		h1:EZBBE59ingxPouuu3KfxchcWSUPOHkagtvWXihfKN4Q=	core/go.sum
github.com/kisielk/errcheck	v1.5.0		h1:pFxgyoBC7bSaBwPgfKdkLd5X25qrDl4LWUI2bnpBCr8=	choices/go.sum;common/collector/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;smartid/go.sum;storage/go.sum;verification/go.sum;votesorder/go.sum;voting/go.sum;webeid/go.sum
github.com/kisielk/gotool	v1.0.0		h1:XhKaO+MFFWcvkIS/tQcRk01m1F5IRFswLeQ+oQHNcck=	choices/go.sum;common/collector/go.sum;core/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;smartid/go.sum;storage/go.sum;verification/go.sum;votesorder/go.sum;voting/go.sum;webeid/go.sum
github.com/klauspost/cpuid/v2	v2.0.9		h1:FInQzS24/EEf25PyTYn52gqo7WaD8xa0213Md/qVLRg=	xroad-service/go.sum
github.com/klauspost/cpuid/v2	v2.2.7	h1:ZWSB3igEs+d0qvnxR/ZBzXVmxkgt8DdzP6m9pfuVLDM=	h1:Lcz8mBdAVJIBVzewtcLocK12l3Y+JytZYpaMropDUws=	xroad-service/go.sum;xroad-service/go.sum
